Country,Software Name,Website
"USA","AutoCAD","https://www.autodesk.com"
"USA","SolidWorks","https://www.solidworks.com"
"USA","SketchUp","https://www.sketchup.com"
"USA","Revit","https://www.autodesk.com/revit"
"USA","Rhino 3D","https://www.rhino3d.com"
"France","CATIA","https://www.3ds.com/products-services/catia/"
"Germany","Siemens NX","https://www.plm.automation.siemens.com"
"Hungary","ArchiCAD","https://graphisoft.com"
"Australia","Altium Designer","https://www.altium.com"
"Community/International","FreeCAD","https://www.freecad.org"
"China","ZWCAD","https://www.zwsoft.com/zwcad"
"USA","Onshape","https://www.onshape.com"
"Finland","Tekla Structures","https://www.tekla.com"
"USA","Solid Edge","https://solidedge.siemens.com"
"USA","Vectorworks","https://www.vectorworks.net"
"Community/International","LibreCAD","https://librecad.org"
"Russia","nanoCAD","https://nanocad.com"
"USA","Autodesk Inventor","https://www.autodesk.com/inventor"
"USA","MicroStation","https://www.bentley.com"
"France","DraftSight","https://www.draftsight.com"
"USA","PTC Creo","https://www.ptc.com"
"Community/International","OpenSCAD","https://openscad.org"
"Hungary","Shapr3D","https://www.shapr3d.com"
"USA","IronCAD","https://www.ironcad.com"
"USA","Chief Architect","https://www.chiefarchitect.com"
"USA","Mastercam","https://www.mastercam.com"
"USA","Alibre Design","https://www.alibre.com"
"USA","nTop","https://www.ntop.com"
"USA","SolidCAM","https://www.solidcam.com"
"China","GstarCAD","https://www.gstarcad.net"
"USA","Bluebeam Revu","https://www.bluebeam.com"
"USA","Navisworks","https://www.autodesk.com/navisworks"
"USA","Solibri","https://www.solibri.com"
"USA","MeshLab","https://www.meshlab.net"
"USA","Magics","https://www.materialise.com"
"USA","Recap Pro","https://www.autodesk.com/recap"
"USA","OpenCASCADE","https://www.opencascade.com"
"USA","VariCAD","https://www.varicad.com"
"USA","Eagle","https://www.autodesk.com/eagle"
"USA","CADra","https://www.adra.com"
"USA","Civil 3D","https://www.autodesk.com/civil-3d"
"France","DraftSight","https://www.draftsight.com"
"USA","Chief Architect Pro","https://www.chiefarchitect.com"
"Germany","ARES Commander","https://www.graebert.com"
"USA","Solid Edge Viewer","https://www.siemens.com"
"USA","DWG TrueView","https://www.autodesk.com"
"USA","Blender","https://www.blender.org"
"USA","SolveSpace Pro","https://solvespace.com"
"USA","DWG FastView","https://en.dwgfastview.com"
"China","GstarCAD","https://www.gstarcad.net"
"USA","QCAD","https://www.qcad.org"
"Russia","nanoCAD","https://nanocad.com"
"USA","progeCAD Professional","https://www.progecad.com"
"USA","IronCAD","https://www.ironcad.com"
"USA","KeyCreator","https://www.kubotekkosmos.com"
"Community/International","LibreCAD","https://librecad.org"
"USA","CADopia","https://www.cadopia.com"
"USA","TurboCAD Platinum","https://www.turbocad.com"
"USA","EPLAN Electric P8","https://www.eplan.com"
"USA","PC SCHEMATIC Automation","https://www.pcschematic.com"
"USA","MatrixGold","https://www.gemvision.com/matrixgold"
"USA","exocad DentalCAD","https://exocad.com"
"USA","Cabinet Vision","https://www.cabinetvision.com"
"USA","AVEVA Marine","https://www.aveva.com/en/products/marine/"
"USA","CLO 3D","https://www.clo3d.com"
"USA","Vectorworks Landmark","https://www.vectorworks.net/landmark"
"USA","Shoemaster","https://www.shoemaster.co.uk"
"USA","VISI Modelling","https://www.visicadcam.com"
"USA","WYSIWYG","https://cast-soft.com/wysiwyg/"
"USA","3Design","https://3design.com"
"USA","Geomagic Design X","https://www.3dsystems.com/software/geomagic-design-x"
"USA","Alias AutoStudio","https://www.autodesk.com/products/alias/overview"
"USA","Cimatron","https://www.cimatron.com"
"USA","Land F/X","https://www.landfx.com"
"USA","ICAD3D+","https://www.icad3dplus.com"
"USA","ANSYS Mechanical","https://www.ansys.com/products/structures/ansys-mechanical"
"USA","Altair HyperWorks","https://altair.com/hyperworks/"
"USA","ESI Visual-Environment","https://www.esi-group.com/products/virtual-performance"
"Canada","CorelCAD","https://www.coreldraw.com/en/product/corelcad/"
"China","ZW3D","https://www.zwsoft.com/zw3d"
"China","CAXA CAD","https://www.caxa.com/en/"
"Germany","ARES Commander","https://www.graebert.com/cad-software/ares-commander/"
"USA","Synopsys Fusion Compiler","https://www.synopsys.com/implementation-and-signoff/rtl-synthesis-test/fusion-compiler.html"
"USA","CAMWorks","https://camworks.com/"
"Germany","Allplan","https://www.allplan.com/"
"USA","OpenRoads Designer","https://www.bentley.com/software/openroads-designer/"
